"buy" 					"Buy Menu"
"buyammo1"   			"Buy Primary Ammo (Optional)"
"buyammo2" 				"Buy Secondary Ammo (Optional)"
"buyequip"				"Buy Equipment Menu (Optional)"
"chooseteam" 			"Select Team"
"radio1"				"Standard Radio Messages"
"radio2"				"Group Radio Messages"
"radio3"				"Report Radio Messages"
"nightvision"			"Turn nightvision on/off"
"+attack"				"Fire"
"+attack2"				"Weapon Special Function"
"+reload"				"Reload weapon"
"drop"	 				"Drop Current Weapon"
"invprev"				"Previous weapon (Optional)"
"invnext"				"Next weapon (Optional)"
"lastinv"				"Last used weapon (Optional)"
"+use"					"Use item (buttons, scientists, ...)"
"impulse 100"			"Flashlight"
"impulse 201"			"Spray logo"
"+forward"				"Move forward"
"+back"					"Move back"
"+left"					"Turn left"
"+right"				"Turn right"
"+moveleft"				"Move left (strafe)"
"+moveright"			"Move right (strafe)"
"+speed"            	"Walk"
"+jump"					"Jump"
"+duck"					"Duck"
"+moveup"				"Swim up"
"+movedown"				"Swim down"
"+lookup"				"Look up"
"+lookdown"				"Look down"
"centerview"			"Reset view"
"+strafe"				"Strafe modifier"
"+mlook"				"Mouse look"
"+klook"				"Keyboard look"
"slot10"				"Menu Item 0"
"slot1"					"Menu Item 1"
"slot2"					"Menu Item 2"
"slot3" 				"Menu Item 3"
"slot4"					"Menu Item 4"
"slot5"					"Menu Item 5"
"slot6"					"Menu Item 6"
"slot7"					"Menu Item 7"
"slot8"					"Menu Item 8"
"slot9"					"Menu Item 9"
"+showscores"			"Display multiplayer scores"
"showbriefing"			"Recap Mission Briefing(Optional)"
"messagemode"			"Chat message"
"messagemode2"			"Team Chat message"
"snapshot"				"Take screen shot"
"save quick"			"Quick save"
"load quick"			"Quick load"
"quit"					"Quit game"
