"+forward"				"Move forward"
"+back"					"Move back"
"+left"					"Turn left"
"+right"				"Turn right"
"+moveleft"				"Move left (strafe)"
"+moveright"				"Move right (strafe)"
"+jump"					"Jump"
"+duck"					"Duck"
"prone"					"Prone"
"changeclass"				"Change Class"
"changeteam"				"Change Team"
"+moveup"				"Swim up"
"+movedown"				"Swim down"
"+lookup"				"Look up"
"+lookdown"				"Look down"
"centerview"				"Look straight ahead"
"+strafe"				"Strafe modifier"
"+mlook"				"Mouse look modifier"
"+klook"				"Keyboard look modifier"
"+attack"				"Primary attack"
"+attack2"				"Secondary attack"
"+reload"				"Reload weapon"
"+use"					"Use item / Pick up Grenades"
"+commandmenu"				"Command menu"
"voice_menu1"				"Voice menu 1"
"voice_menu2"				"Voice menu 2"
"dropammo"				"Drop Current Ammo"
"stopbleed"				"Stop yourself from bleeding"
"+speed"           			"Walk"
"impulse 100"				"Flashlight"
"impulse 201"				"Spray logo"
"slot1"					"Weapon category 1"
"slot2"					"Weapon category 2"
"slot3" 				"Weapon category 3"
"slot4"					"Weapon category 4"
"slot5"					"Weapon category 5"
"invprev"				"Previous weapon"
"invnext"				"Next weapon"
"lastinv"				"Last used weapon"
"+showscores"				"Display multiplayer scores"
"messagemode"				"Chat message"
"snapshot"				"Take screen shot"
"save quick"				"Quick save"
"load quick"				"Quick load"
"pause"					"Pause game"
"quit"					"Quit game"
